SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,219 Kensington Way,Los Gatos,CA,95032,2098880,3,2.5,LOS GATOS,1378,6039,1965,21,1523,,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/Los-Gatos/219-Kensington-Way-95032/home/1131627,MLSListings,ML82014159,N,Y,37.2407372,-121.9278785
MLS Listing,,Single Family Residential,13770 Madrone Pl,Los Gatos,CA,95033,999000,3,2.0,LOS GATOS,1344,274907,1978,1,743,,Active,,,https://www.redfin.com/CA/Los-Gatos/13770-Madrone-Pl-95033/home/2394729,MLSListings,ML82016592,N,Y,37.2468202,-122.1262038
MLS Listing,,Single Family Residential,230 Burrell Ct,Los Gatos,CA,95033,1499000,3,2.5,LOS GATOS,2283,60766,1978,1,657,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/Los-Gatos/230-Burrell-Ct-95033/home/2406653,MLSListings,ML82016563,N,Y,37.111838,-121.918701
MLS Listing,,Single Family Residential,16251 Lilac Ln,Los Gatos,CA,95032,3199000,5,3.0,LOS GATOS,2371,8160,1957,1,1349,,Active,August-1-2025 04:30 PM,August-1-2025 07:00 PM,https://www.redfin.com/CA/Los-Gatos/16251-Lilac-Ln-95032/home/976016,MLSListings,ML82016153,N,Y,37.2367876,-121.9538752
MLS Listing,,Single Family Residential,17666 Navajo Trl,Los Gatos,CA,95033,1175000,3,2.0,LOS GATOS,1448,7500,1980,1,811,,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/CA/Los-Gatos/17666-Navajo-Trl-95033/home/638001,MLSListings,ML82016523,N,Y,37.1601169,-121.979417
MLS Listing,,Single Family Residential,141 Cambrian View Way,Los Gatos,CA,95032,2895000,5,3.0,Los Gatos,2073,8200,1964,1,1397,33,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/Los-Gatos/141-Cambrian-View-Way-95032/home/912413,MLSListings,ML82016486,N,Y,37.237447,-121.9282619
MLS Listing,,Vacant Land,17212 Fawndale Rd,Los Gatos,CA,95032,975000,,,Los Gatos/Monte Sereno,,148095,,1,,,Active,,,https://www.redfin.com/CA/Los-Gatos/17212-Fawndale-Rd-95032/home/182279542,BAREIS,325067658,N,Y,37.2204734,-121.9302103
MLS Listing,,Single Family Residential,19233 Mountain Way,Los Gatos,CA,95030,2999000,4,2.5,Los Gatos,2899,20473,1975,2,1034,,Active,July-31-2025 05:00 PM,July-31-2025 07:00 PM,https://www.redfin.com/CA/Los-Gatos/19233-Mountain-Way-95030/home/907996,MLSListings,ML82015655,N,Y,37.2348339,-122.0094201
MLS Listing,,Single Family Residential,256 Marchmont Ct,Los Gatos,CA,95032,3898000,5,3.5,LOS GATOS,2599,10710,1964,3,1500,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/Los-Gatos/256-Marchmont-Ct-95032/home/555553,MLSListings,ML82015897,N,Y,37.2272403,-121.9562645
MLS Listing,,Single Family Residential,19375 Montevina Rd,Los Gatos,CA,95033,2590000,2,1.0,LOS GATOS,1409,653400,1964,3,1838,,Active,,,https://www.redfin.com/CA/Los-Gatos/19375-Montevina-Rd-95033/home/915752,MLSListings,ML82002146,N,Y,37.203371,-122.0090425
